"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の勤め先収入_世帯主が女の収入","円","","","","","324440.0","","","","","388947.0","","","","","454101.0","","","","","478169.0","","","","","450595.0","","","","","395304.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の勤め先収入_世帯主が女の収入_定期収入","円","","","","","286839.0","","","","","322389.0","","","","","366625.0","","","","","397352.0","","","","","373880.0","","","","","336209.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の勤め先収入_世帯主が女の収入_臨時収入","円","","","","","－","","","","","－","","","","","349464.0","","","","","383632.0","","","","","357710.0","","","","","315666.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の配偶者の勤め先収入_世帯主が女の収入","円","","","","","282526.0","","","","","－","","","","","－","","","","","－","","","","","355058.0","","","","","313269.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の配偶者の勤め先収入_配偶者が男の収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2652.0","","","","","2397.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_世帯主の配偶者の勤め先収入_配偶者が女の収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","16170.0","","","","","20543.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_他の世帯員の勤め先収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","16066.0","","","","","20363.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_他の世帯員の勤め先収入_男の他の世帯員の勤め先収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","104.0","","","","","180.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_勤め先収入_他の世帯員の勤め先収入_女の他の世帯員の勤め先収入","円","","","","","31491.0","","","","","44967.0","","","","","52396.0","","","","","53132.0","","","","","59632.0","","","","","46071.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_事業･内職収入_他の世帯員の勤め先収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1164.0","","","","","-",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_事業･内職収入_農林漁業収入","円","","","","","31491.0","","","","","－","","","","","52396.0","","","","","52162.0","","","","","58469.0","","","","","46071.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_事業･内職収入_家賃収入","円","","","","","6109.0","","","","","21590.0","","","","","35080.0","","","","","27685.0","","","","","17082.0","","","","","13024.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_事業･内職収入_他の事業収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","8419.0","","","","","7494.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_事業･内職収入_内職収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","8664.0","","","","","5530.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_本業以外の勤め先・事業・内職収入","円","","","","","7699.0","","","","","10451.0","","","","","7695.0","","","","","3292.0","","","","","5363.0","","","","","1126.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4342.0","","","","","215.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入_財産収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","183.0","","","","","487.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入_社会保障給付","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","360.0","","","","","318.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入_社会保障給付_公的年金給付","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","478.0","","","","","107.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入_社会保障給付_他の社会保障給付","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2539.0","","","","","691.0",""
"二人以上(勤労者世帯)_収入総額_実収入_経常収入_他の経常収入_仕送り金","円","","","","","8281.0","","","","","12455.0","","","","","18171.0","","","","","12349.0","","","","","12658.0","","","","","14502.0",""
"二人以上(勤労者世帯)_収入総額_実収入_特別収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","445.0","","","","","1332.0",""
"二人以上(勤労者世帯)_収入総額_実収入_特別収入_受贈金","円","","","","","－","","","","","－","","","","","13284.0","","","","","11260.0","","","","","10340.0","","","","","11900.0",""
"二人以上(勤労者世帯)_収入総額_実収入_特別収入_その他","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","7701.0","","","","","8991.0",""
"二人以上(勤労者世帯)_収入総額_実収入_(再掲)移転収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","351.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2638.0","","","","","2558.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_預貯金引出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1873.0","","","","","1269.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_保険取金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","5954.0","","","","","6158.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_保険取金_個人・企業年金保険取金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3109.0","","","","","3566.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_保険取金_他の保険取金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2845.0","","","","","2591.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_有価証券売却","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4982.0","","","","","4836.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_有価証券売却_株式売却","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","353890.0","","","","","316471.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_有価証券売却_他の有価証券売却","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","331727.0","","","","","292485.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_土地家屋借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1251.0","","","","","1891.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_他の借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","714.0","","","","","1001.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_分割払･一括払購入借入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","537.0","","","","","889.0",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_財産売却","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","-",""
"二人以上(勤労者世帯)_収入総額_実収入以外の収入_その他","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","-",""
"二人以上(勤労者世帯)_収入総額_繰入金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","-",""
"二人以上(勤労者世帯)_可処分所得","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","-",""
"二人以上(勤労者世帯)_支出総額","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1562.0","","","","","1632.0",""
"二人以上(勤労者世帯)_支出総額_実支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","19202.0","","","","","19888.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","-",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","148.0","","","","","575.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_穀類","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","87126.0","","","","","66654.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_穀類_米","円","","","","","292064.0","","","","","353633.0","","","","","414966.0","","","","","422167.0","","","","","403030.0","","","","","348002.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_穀類_パン","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","918125.0","","","","","800906.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_穀類_めん類","円","","","","","310674.0","","","","","359813.0","","","","","394797.0","","","","","416670.0","","","","","391488.0","","","","","348719.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_穀類_他の穀類","円","","","","","256440.0","","","","","293574.0","","","","","313098.0","","","","","332987.0","","","","","317410.0","","","","","278939.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_魚介類","円","","","","","75829.0","","","","","82796.0","","","","","85475.0","","","","","83631.0","","","","","73137.0","","","","","65872.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_魚介類_生鮮魚介","円","","","","","9235.0","","","","","10947.0","","","","","11824.0","","","","","9491.0","","","","","8447.0","","","","","7371.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_魚介類_塩干魚介","円","","","","","5515.0","","","","","6458.0","","","","","6959.0","","","","","4250.0","","","","","3802.0","","","","","3205.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_魚介類_魚肉練製品","円","","","","","2311.0","","","","","2957.0","","","","","3019.0","","","","","3247.0","","","","","3051.0","","","","","2617.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_魚介類_他の魚介加工品","円","","","","","1179.0","","","","","1269.0","","","","","1556.0","","","","","1745.0","","","","","1348.0","","","","","1257.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_肉類","円","","","","","229.0","","","","","263.0","","","","","290.0","","","","","249.0","","","","","246.0","","","","","292.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_肉類_生鮮肉","円","","","","","11345.0","","","","","12035.0","","","","","10598.0","","","","","10283.0","","","","","7477.0","","","","","5688.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_肉類_加工肉","円","","","","","7602.0","","","","","8039.0","","","","","6804.0","","","","","6552.0","","","","","5125.0","","","","","3578.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_乳卵類","円","","","","","2269.0","","","","","2424.0","","","","","2179.0","","","","","2575.0","","","","","1065.0","","","","","888.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_乳卵類_牛乳","円","","","","","1096.0","","","","","1072.0","","","","","1166.0","","","","","839.0","","","","","729.0","","","","","782.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_乳卵類_乳製品","円","","","","","379.0","","","","","500.0","","","","","450.0","","","","","317.0","","","","","557.0","","","","","440.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_乳卵類_卵","円","","","","","11193.0","","","","","11879.0","","","","","10909.0","","","","","10843.0","","","","","8225.0","","","","","7999.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_野菜･海藻","円","","","","","9950.0","","","","","10559.0","","","","","9408.0","","","","","9500.0","","","","","6965.0","","","","","6655.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_野菜･海藻_生鮮野菜","円","","","","","1243.0","","","","","1320.0","","","","","1500.0","","","","","1342.0","","","","","1259.0","","","","","1344.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_野菜･海藻_乾物･海藻","円","","","","","4208.0","","","","","3942.0","","","","","4327.0","","","","","4220.0","","","","","3153.0","","","","","2968.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_野菜･海藻_大豆加工品","円","","","","","2247.0","","","","","2252.0","","","","","2546.0","","","","","2376.0","","","","","1584.0","","","","","1330.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_野菜･海藻_他の野菜･海藻加工品","円","","","","","576.0","","","","","564.0","","","","","840.0","","","","","838.0","","","","","920.0","","","","","892.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_果物","円","","","","","1385.0","","","","","1126.0","","","","","941.0","","","","","1006.0","","","","","649.0","","","","","747.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_果物_生鮮果物","円","","","","","8165.0","","","","","9508.0","","","","","10101.0","","","","","9639.0","","","","","8301.0","","","","","6384.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_果物_果物加工品","円","","","","","5385.0","","","","","6756.0","","","","","7071.0","","","","","6683.0","","","","","5740.0","","","","","4287.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_油脂･調味料","円","","","","","811.0","","","","","744.0","","","","","751.0","","","","","653.0","","","","","585.0","","","","","497.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_油脂･調味料_油脂","円","","","","","877.0","","","","","850.0","","","","","1081.0","","","","","1138.0","","","","","933.0","","","","","735.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_油脂･調味料_調味料","円","","","","","1091.0","","","","","1158.0","","","","","1199.0","","","","","1166.0","","","","","1042.0","","","","","866.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_菓子類","円","","","","","4214.0","","","","","4445.0","","","","","3770.0","","","","","3400.0","","","","","2424.0","","","","","1939.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_調理食品","円","","","","","4149.0","","","","","4387.0","","","","","3704.0","","","","","3346.0","","","","","2351.0","","","","","1897.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_調理食品_主食的調理食品","円","","","","","65.0","","","","","58.0","","","","","65.0","","","","","54.0","","","","","73.0","","","","","43.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_調理食品_他の調理食品","円","","","","","2769.0","","","","","2663.0","","","","","3059.0","","","","","3116.0","","","","","3122.0","","","","","3003.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_飲料","円","","","","","428.0","","","","","316.0","","","","","300.0","","","","","299.0","","","","","311.0","","","","","294.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_飲料_茶類","円","","","","","2341.0","","","","","2348.0","","","","","2759.0","","","","","2817.0","","","","","2811.0","","","","","2709.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_飲料_コーヒー･ココア","円","","","","","6011.0","","","","","6394.0","","","","","6019.0","","","","","6068.0","","","","","5654.0","","","","","5441.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_飲料_他の飲料","円","","","","","3182.0","","","","","4207.0","","","","","6233.0","","","","","6880.0","","","","","7621.0","","","","","6674.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_酒類","円","","","","","971.0","","","","","1329.0","","","","","2648.0","","","","","3033.0","","","","","2918.0","","","","","2843.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_外食","円","","","","","2211.0","","","","","2878.0","","","","","3585.0","","","","","3847.0","","","","","4703.0","","","","","3831.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_外食_一般外食","円","","","","","2179.0","","","","","2663.0","","","","","2906.0","","","","","3494.0","","","","","3677.0","","","","","2991.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_食料_外食_学校給食","円","","","","","199.0","","","","","235.0","","","","","371.0","","","","","489.0","","","","","604.0","","","","","453.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居","円","","","","","603.0","","","","","640.0","","","","","655.0","","","","","769.0","","","","","714.0","","","","","717.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居_家賃地代","円","","","","","1377.0","","","","","1788.0","","","","","1881.0","","","","","2236.0","","","","","2359.0","","","","","1820.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居_家賃地代__（特掲）家賃","円","","","","","3723.0","","","","","3538.0","","","","","4321.0","","","","","4544.0","","","","","3562.0","","","","","3600.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居_設備修繕･維持","円","","","","","9605.0","","","","","10575.0","","","","","11409.0","","","","","11654.0","","","","","11475.0","","","","","11812.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居_設備修繕･維持_設備材料","円","","","","","8173.0","","","","","9541.0","","","","","9831.0","","","","","10432.0","","","","","9866.0","","","","","10430.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_住居_設備修繕･維持_工事その他のサービス","円","","","","","1432.0","","","","","1034.0","","","","","1577.0","","","","","1222.0","","","","","1609.0","","","","","1382.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_光熱･水道","円","","","","","8796.0","","","","","8656.0","","","","","9525.0","","","","","16248.0","","","","","9996.0","","","","","13259.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_光熱･水道_電気代","円","","","","","3932.0","","","","","4989.0","","","","","4928.0","","","","","6703.0","","","","","6962.0","","","","","7418.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_光熱･水道_ガス代","円","","","","","－","","","","","－","","","","","4831.0","","","","","6689.0","","","","","6856.0","","","","","7399.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_光熱･水道_他の光熱","円","","","","","4864.0","","","","","3667.0","","","","","4597.0","","","","","9544.0","","","","","3035.0","","","","","5841.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_光熱･水道_上下水道料","円","","","","","873.0","","","","","644.0","","","","","1157.0","","","","","2772.0","","","","","755.0","","","","","702.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_上下水道料","円","","","","","3990.0","","","","","3023.0","","","","","3441.0","","","","","6773.0","","","","","2280.0","","","","","5139.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家庭用耐久財","円","","","","","14939.0","","","","","13803.0","","","","","18971.0","","","","","20454.0","","","","","19352.0","","","","","17401.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家庭用耐久財_家事用耐久財","円","","","","","8431.0","","","","","7343.0","","","","","10752.0","","","","","11287.0","","","","","11065.0","","","","","9204.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家庭用耐久財_冷暖房用器具","円","","","","","3532.0","","","","","3290.0","","","","","3910.0","","","","","4142.0","","","","","3619.0","","","","","3337.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家庭用耐久財_一般家具","円","","","","","695.0","","","","","646.0","","","","","746.0","","","","","634.0","","","","","759.0","","","","","535.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_室内装備･装飾品","円","","","","","2282.0","","","","","2524.0","","","","","3564.0","","","","","4391.0","","","","","3909.0","","","","","4326.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_寝具類","円","","","","","8983.0","","","","","10779.0","","","","","11830.0","","","","","13400.0","","","","","10530.0","","","","","9701.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家事雑貨","円","","","","","1921.0","","","","","2423.0","","","","","3101.0","","","","","4055.0","","","","","2322.0","","","","","2949.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家事用消耗品","円","","","","","664.0","","","","","1364.0","","","","","1467.0","","","","","1463.0","","","","","1357.0","","","","","1506.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_家具･家事用品_家事サービス","円","","","","","906.0","","","","","776.0","","","","","876.0","","","","","853.0","","","","","584.0","","","","","779.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物","円","","","","","351.0","","","","","283.0","","","","","759.0","","","","","1739.0","","","","","382.0","","","","","664.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_和服","円","","","","","599.0","","","","","815.0","","","","","1227.0","","","","","1167.0","","","","","872.0","","","","","625.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_洋服","円","","","","","1800.0","","","","","1463.0","","","","","903.0","","","","","1552.0","","","","","496.0","","","","","547.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_洋服_男子用洋服","円","","","","","1815.0","","","","","2534.0","","","","","2541.0","","","","","2495.0","","","","","2046.0","","","","","1986.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_洋服_婦人用洋服","円","","","","","1703.0","","","","","1788.0","","","","","2095.0","","","","","2373.0","","","","","2903.0","","","","","2121.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_洋服_子供用洋服","円","","","","","1144.0","","","","","1756.0","","","","","1963.0","","","","","1759.0","","","","","1891.0","","","","","1473.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_シャツ･セーター類","円","","","","","17281.0","","","","","19553.0","","","","","18420.0","","","","","18873.0","","","","","13890.0","","","","","11876.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_シャツ･セーター類_男子用シャツ･セーター類","円","","","","","1583.0","","","","","1303.0","","","","","367.0","","","","","1007.0","","","","","1012.0","","","","","134.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_シャツ･セーター類_婦人用シャツ･セーター類","円","","","","","5593.0","","","","","7633.0","","","","","7481.0","","","","","8141.0","","","","","5725.0","","","","","4928.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_シャツ･セーター類_子供用シャツ･セーター類","円","","","","","2107.0","","","","","2671.0","","","","","2068.0","","","","","2804.0","","","","","1933.0","","","","","1461.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_下着類","円","","","","","2487.0","","","","","3948.0","","","","","3802.0","","","","","3865.0","","","","","2864.0","","","","","2468.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_下着類_男子用下着類","円","","","","","999.0","","","","","1015.0","","","","","1611.0","","","","","1472.0","","","","","928.0","","","","","999.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_下着類_婦人用下着類","円","","","","","3023.0","","","","","3451.0","","","","","3290.0","","","","","3426.0","","","","","2407.0","","","","","2060.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_下着類_子供用下着類","円","","","","","1059.0","","","","","1303.0","","","","","1183.0","","","","","1366.0","","","","","856.0","","","","","616.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_生地･糸類","円","","","","","1617.0","","","","","1854.0","","","","","1739.0","","","","","1648.0","","","","","1303.0","","","","","1245.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_他の被服","円","","","","","347.0","","","","","294.0","","","","","368.0","","","","","412.0","","","","","247.0","","","","","199.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_履物類","円","","","","","1783.0","","","","","1846.0","","","","","1837.0","","","","","1954.0","","","","","1256.0","","","","","1165.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_被服及び履物_被服関連サービス","円","","","","","705.0","","","","","775.0","","","","","598.0","","","","","738.0","","","","","366.0","","","","","383.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_保健医療","円","","","","","751.0","","","","","847.0","","","","","890.0","","","","","943.0","","","","","697.0","","","","","626.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_保健医療_医薬品","円","","","","","328.0","","","","","224.0","","","","","349.0","","","","","273.0","","","","","193.0","","","","","156.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_保健医療_健康保持用摂取品","円","","","","","1016.0","","","","","403.0","","","","","538.0","","","","","272.0","","","","","128.0","","","","","139.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_保健医療_保健医療用品･器具","円","","","","","1213.0","","","","","1386.0","","","","","1429.0","","","","","1215.0","","","","","916.0","","","","","1249.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_保健医療_保健医療サービス","円","","","","","1834.0","","","","","1964.0","","","","","2068.0","","","","","1867.0","","","","","1665.0","","","","","1723.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信","円","","","","","1236.0","","","","","1566.0","","","","","1410.0","","","","","990.0","","","","","780.0","","","","","477.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_交通","円","","","","","6210.0","","","","","6107.0","","","","","7093.0","","","","","9360.0","","","","","11041.0","","","","","10043.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_自動車等関係費","円","","","","","1446.0","","","","","1520.0","","","","","1610.0","","","","","1751.0","","","","","1560.0","","","","","1710.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_自動車等関係費_自動車等購入","円","","","","","－","","","","","－","","","","","132.0","","","","","527.0","","","","","710.0","","","","","843.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_自動車等関係費_自転車購入","円","","","","","1036.0","","","","","1364.0","","","","","1652.0","","","","","1783.0","","","","","2873.0","","","","","1719.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_自動車等関係費_自動車等維持","円","","","","","3728.0","","","","","3223.0","","","","","3699.0","","","","","5300.0","","","","","5897.0","","","","","5770.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_通信","円","","","","","25162.0","","","","","30493.0","","","","","35755.0","","","","","36871.0","","","","","51622.0","","","","","43600.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_交通･通信_通信__（特掲）移動電話通信料","円","","","","","3622.0","","","","","5046.0","","","","","4401.0","","","","","4838.0","","","","","4640.0","","","","","4208.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教育","円","","","","","15802.0","","","","","19523.0","","","","","24557.0","","","","","20407.0","","","","","31545.0","","","","","23780.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教育_授業料等","円","","","","","2128.0","","","","","6846.0","","","","","8755.0","","","","","3630.0","","","","","11418.0","","","","","3948.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教育_教科書･学習参考教材","円","","","","","266.0","","","","","200.0","","","","","330.0","","","","","206.0","","","","","206.0","","","","","154.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教育_補習教育","円","","","","","13408.0","","","","","12476.0","","","","","15471.0","","","","","16572.0","","","","","19920.0","","","","","19679.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽","円","","","","","5739.0","","","","","5924.0","","","","","6797.0","","","","","11626.0","","","","","15437.0","","","","","15611.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽用耐久財","円","","","","","－","","","","","－","","","","","－","","","","","2990.0","","","","","9881.0","","","","","11733.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽用品","円","","","","","10858.0","","","","","16898.0","","","","","19177.0","","","","","18681.0","","","","","22909.0","","","","","15697.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_書籍･他の印刷物","円","","","","","8035.0","","","","","12439.0","","","","","13195.0","","","","","13601.0","","","","","18099.0","","","","","11908.0",""
